unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1501977600,8/6/2017 0:00,ETH/USD,0,0,0,0,0,0
1501891200,8/5/2017 0:00,ETH/USD,0,0,0,0,0,0
1501804800,8/4/2017 0:00,ETH/USD,0,0,0,0,0,0
1501718400,8/3/2017 0:00,ETH/USD,0,0,0,0,0,0
1501632000,8/2/2017 0:00,ETH/USD,0,0,0,0,0,0
1501545600,8/1/2017 0:00,ETH/USD,0,0,0,0,0,0
1501459200,7/31/2017 0:00,ETH/USD,0,0,0,0,0,0
1501372800,7/30/2017 0:00,ETH/USD,0,0,0,0,0,0
1501286400,7/29/2017 0:00,ETH/USD,0,0,0,0,0,0
1501200000,7/28/2017 0:00,ETH/USD,0,0,0,0,0,0
1501113600,7/27/2017 0:00,ETH/USD,0,0,0,0,0,0
1501027200,7/26/2017 0:00,ETH/USD,0,0,0,0,0,0
1500940800,7/25/2017 0:00,ETH/USD,0,0,0,0,0,0
1500854400,7/24/2017 0:00,ETH/USD,0,0,0,0,0,0
1500768000,7/23/2017 0:00,ETH/USD,0,0,0,0,0,0
1500681600,7/22/2017 0:00,ETH/USD,0,0,0,0,0,0
1500595200,7/21/2017 0:00,ETH/USD,0,0,0,0,0,0
1500508800,7/20/2017 0:00,ETH/USD,0,0,0,0,0,0
1500422400,7/19/2017 0:00,ETH/USD,0,0,0,0,0,0
1500336000,7/18/2017 0:00,ETH/USD,0,0,0,0,0,0
1500249600,7/17/2017 0:00,ETH/USD,0,0,0,0,0,0
1500163200,7/16/2017 0:00,ETH/USD,0,0,0,0,0,0
1500076800,7/15/2017 0:00,ETH/USD,0,0,0,0,0,0
1499990400,7/14/2017 0:00,ETH/USD,0,0,0,0,0,0
1499904000,7/13/2017 0:00,ETH/USD,0,0,0,0,0,0
1499817600,7/12/2017 0:00,ETH/USD,0,0,0,0,0,0
1499731200,7/11/2017 0:00,ETH/USD,0,0,0,0,0,0
1499644800,7/10/2017 0:00,ETH/USD,0,0,0,0,0,0
1499558400,7/9/2017 0:00,ETH/USD,0,0,0,0,0,0
1499472000,7/8/2017 0:00,ETH/USD,0,0,0,0,0,0
1499385600,7/7/2017 0:00,ETH/USD,0,0,0,0,0,0
1499299200,7/6/2017 0:00,ETH/USD,0,0,0,0,0,0
1499212800,7/5/2017 0:00,ETH/USD,0,0,0,0,0,0
1499126400,7/4/2017 0:00,ETH/USD,0,0,0,0,0,0
1499040000,7/3/2017 0:00,ETH/USD,0,0,0,0,0,0
1498953600,7/2/2017 0:00,ETH/USD,0,0,0,0,0,0
1498867200,7/1/2017 0:00,ETH/USD,0,0,0,0,0,0
1498780800,6/30/2017 0:00,ETH/USD,0,0,0,0,0,0
1498694400,6/29/2017 0:00,ETH/USD,0,0,0,0,0,0
1498608000,6/28/2017 0:00,ETH/USD,0,0,0,0,0,0
1498521600,6/27/2017 0:00,ETH/USD,0,0,0,0,0,0
1498435200,6/26/2017 0:00,ETH/USD,0,0,0,0,0,0
1498348800,6/25/2017 0:00,ETH/USD,0,0,0,0,0,0
