Date,Close,Open,High,Low,Vol.,Change %
9-Mar-20,0.6857,0.6731,0.6939,0.6418,583.59K,1.87%
8-Mar-20,0.6731,0.7895,0.7908,0.6657,928.06K,-14.74%
7-Mar-20,0.7895,0.8241,0.8329,0.7738,362.53K,-4.20%
6-Mar-20,0.8241,0.8279,0.8404,0.8099,397.25K,-0.46%
5-Mar-20,0.8279,0.7723,0.8366,0.7723,617.29K,7.20%
4-Mar-20,0.7723,0.7767,0.7845,0.76,250.57K,-0.56%
3-Mar-20,0.7767,0.788,0.7965,0.7564,486.42K,-1.44%
2-Mar-20,0.788,0.7205,0.8087,0.7145,516.88K,9.58%
1-Mar-20,0.7191,0.7358,0.7559,0.7082,579.51K,-2.27%
29-Feb-20,0.7358,0.7592,0.7733,0.7314,229.40K,-3.08%
28-Feb-20,0.7592,0.7868,0.8049,0.7193,716.02K,-3.44%
27-Feb-20,0.7863,0.7863,0.8144,0.739,625.99K,0.00%
26-Feb-20,0.7863,0.8318,0.8336,0.7212,920.28K,-5.48%
25-Feb-20,0.8318,0.907,0.9081,0.8219,767.95K,-8.29%
24-Feb-20,0.907,0.979,0.9813,0.877,546.22K,-7.35%
23-Feb-20,0.979,0.9538,0.9911,0.9439,287.46K,2.63%
22-Feb-20,0.9538,0.973,0.9914,0.9297,340.29K,-1.97%
21-Feb-20,0.973,0.933,0.997,0.9311,544.88K,4.29%
20-Feb-20,0.933,0.9269,0.9539,0.8857,593.00K,0.90%
19-Feb-20,0.9246,1.0114,1.0282,0.91,522.45K,-8.58%
18-Feb-20,1.0114,0.9991,1.0296,0.9578,752.41K,1.23%
17-Feb-20,0.9991,1.0699,1.0705,0.9041,1.21M,-6.62%
16-Feb-20,1.0699,1.12,1.1921,0.9582,1.46M,-4.48%
15-Feb-20,1.12,1.128,1.2173,1.0362,1.63M,-0.71%
14-Feb-20,1.128,1.0794,1.1338,1.0585,632.41K,4.50%
13-Feb-20,1.0794,1.1369,1.1694,1.0453,1.17M,-5.06%
12-Feb-20,1.1369,1.0551,1.1671,1.0513,1.11M,7.75%
11-Feb-20,1.0551,0.9904,1.0964,0.9611,1.49M,6.54%
10-Feb-20,0.9904,0.969,1.0035,0.9214,699.22K,2.21%
9-Feb-20,0.969,0.9123,1.0011,0.9121,843.64K,6.22%
8-Feb-20,0.9123,0.938,0.9405,0.8919,636.68K,-2.74%
7-Feb-20,0.938,0.9744,1.0186,0.9304,765.01K,-3.73%
6-Feb-20,0.9744,0.925,0.9954,0.9148,707.84K,5.34%
5-Feb-20,0.925,0.8806,0.9531,0.8604,726.82K,5.03%
4-Feb-20,0.8806,0.8124,0.8998,0.8124,1.11M,8.40%
3-Feb-20,0.8124,0.8288,0.8476,0.7954,458.78K,-1.99%
